[2022-09-06 14:39:46:2821][http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
[2022-09-06 14:39:46:2821][http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
[2022-09-06 14:40:46:62592][SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[2022-09-06 14:40:46:62593][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
[2022-09-06 14:40:46:62597][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
[2022-09-06 14:40:48:408][main] INFO  zerobase.weather.WeatherApplication - Starting WeatherApplication using Java 18.0.2.1 on DESKTOP-R7ANO7G with PID 4444 (D:\zerobase_project\weather_diary\weather_diary_skeleton\out\production\classes started by lee in D:\zerobase_project\weather_diary\weather_diary_skeleton)
[2022-09-06 14:40:48:412][main] INFO  zerobase.weather.WeatherApplication - No active profile set, falling back to 1 default profile: "default"
[2022-09-06 14:40:49:918][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2022-09-06 14:40:49:952][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 28 ms. Found 3 JPA repository interfaces.
[2022-09-06 14:40:49:1281][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[2022-09-06 14:40:49:1287][main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[2022-09-06 14:40:49:1287][main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2022-09-06 14:40:49:1287][main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.58]
[2022-09-06 14:40:49:1337][main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2022-09-06 14:40:49:1337][main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 890 ms
[2022-09-06 14:40:49:1429][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2022-09-06 14:40:49:1619][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2022-09-06 14:40:49:1650][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[2022-09-06 14:40:50:1678][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.5.Final
[2022-09-06 14:40:50:1784][main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2022-09-06 14:40:50:1852][main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL57Dialect
[2022-09-06 14:40:50:2172][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2022-09-06 14:40:50:2178][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2022-09-06 14:40:50:2526][main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2022-09-06 14:40:51:2770][main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2022-09-06 14:40:51:2781][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[2022-09-06 14:40:51:2889][main] INFO  zerobase.weather.WeatherApplication - Started WeatherApplication in 2.777 seconds (JVM running for 3.145)
[2022-09-06 14:40:51:2950][http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[2022-09-06 14:40:51:2950][http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
[2022-09-06 14:40:51:2951][http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
[2022-09-06 14:41:44:56138][SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[2022-09-06 14:41:44:56140][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
[2022-09-06 14:41:44:56144][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
[2022-09-06 14:41:47:382][main] INFO  zerobase.weather.WeatherApplication - Starting WeatherApplication using Java 18.0.2.1 on DESKTOP-R7ANO7G with PID 9756 (D:\zerobase_project\weather_diary\weather_diary_skeleton\out\production\classes started by lee in D:\zerobase_project\weather_diary\weather_diary_skeleton)
[2022-09-06 14:41:47:386][main] INFO  zerobase.weather.WeatherApplication - No active profile set, falling back to 1 default profile: "default"
[2022-09-06 14:41:47:878][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2022-09-06 14:41:47:908][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 24 ms. Found 3 JPA repository interfaces.
[2022-09-06 14:41:47:1236][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[2022-09-06 14:41:47:1242][main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[2022-09-06 14:41:47:1242][main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2022-09-06 14:41:47:1242][main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.58]
[2022-09-06 14:41:47:1292][main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
